N.B: Wdir (wave heading TOWARDS)= N=0deg E=270 deg S= 180 deg W=90deg  
Data from hindcast set 1/1/1954 00:00 to 12/31/2008 21:00, created by Oceanweather Inc. on 11/06/2009  
Location: M3 Grid Point 10613  Lat 41.5n  Long 9.0w  Depth 159.5327m  
Table lists percentages 

OrcaFlex (TOWARDS, +CCW) Wave Heading:  165 to 195 deg
foo,0.0-0.5 (m),0.5-1.0 (m),1.0-1.5 (m),1.5-2.0 (m),2.0-2.5 (m),2.5-3.0 (m),3.0-3.5 (m),3.5-4.0 (m),4.0-4.5 (m),4.5-5.0 (m),5.0-5.5 (m),5.5-6.0 (m),6 +,Sum,
11-12 (s),0.001257,0.022627,0.029541,0.015085,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.068510, 
12-13 (s),0.000000,0.001886,0.009428,0.001257,0.001257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013828, 
13-14 (s),0.000000,0.003771,0.002514,0.000000,0.000629,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006914, 
14-15 (s),0.003771,0.005657,0.018227,0.003143,0.000629,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031427, 
15 +,0.000629,0.001257,0.001257,0.003143,0.000629,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006914, 
Sum, 0.013199,0.201759,0.334379,0.130106,0.021999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.701441, 

OrcaFlex (TOWARDS, +CCW) Wave Heading:  465 to 495 deg
foo,0.0-0.5 (m),0.5-1.0 (m),1.0-1.5 (m),1.5-2.0 (m),2.0-2.5 (m),2.5-3.0 (m),3.0-3.5 (m),3.5-4.0 (m),4.0-4.5 (m),4.5-5.0 (m),5.0-5.5 (m),5.5-6.0 (m),6 +,Sum,
0-1 (s),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 
1-2 (s),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 
2-3 (s),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 
3-4 (s),0.011942,0.137020,0.005657,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154619, 
4-5 (s),0.000000,0.197987,0.377119,0.007542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.582649, 
5-6 (s),0.000000,0.001257,0.230671,0.376490,0.019484,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.627903, 
6-7 (s),0.000000,0.002514,0.000000,0.035826,0.087994,0.012571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.138905, 
7-8 (s),0.003143,0.007542,0.000629,0.000000,0.001886,0.000629,0.003771,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017599, 
8-9 (s),0.001257,0.011942,0.004400,0.001886,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019484, 
9-10 (s),0.004400,0.020742,0.011314,0.005657,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.042112, 
10-11 (s),0.000000,0.034569,0.076681,0.014456,0.000629,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.126335, 
11-12 (s),0.000629,0.053425,0.059082,0.026398,0.001257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.140791, 
12-13 (s),0.000000,0.008171,0.016342,0.009428,0.000000,0.000629,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034569, 
13-14 (s),0.000629,0.005028,0.012571,0.006914,0.001886,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027027, 
14-15 (s),0.004400,0.015085,0.011942,0.008799,0.001886,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.042112, 
15 +,0.000000,0.008799,0.003771,0.003771,0.000629,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016970, 
Sum, 0.026398,0.504082,0.810177,0.497168,0.115650,0.013828,0.003771,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.971075, 

OrcaFlex (TOWARDS, +CCW) Wave Heading:  495 to 525 deg
foo,0.0-0.5 (m),0.5-1.0 (m),1.0-1.5 (m),1.5-2.0 (m),2.0-2.5 (m),2.5-3.0 (m),3.0-3.5 (m),3.5-4.0 (m),4.0-4.5 (m),4.5-5.0 (m),5.0-5.5 (m),5.5-6.0 (m),6 +,Sum,
0-1 (s),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 
1-2 (s),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 
2-3 (s),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 
3-4 (s),0.006914,0.177246,0.006285,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.190445, 
4-5 (s),0.000000,0.383404,1.274662,0.023884,0.000629,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.682579, 
5-6 (s),0.000629,0.006285,0.568193,1.056562,0.063482,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.695150, 
6-7 (s),0.000000,0.006285,0.000629,0.133249,0.262098,0.043369,0.003143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.448772, 
7-8 (s),0.009428,0.107479,0.025770,0.002514,0.003771,0.009428,0.003771,0.001257,0.000000,0.000000,0.000000,0.000000,0.000000,0.163418, 
8-9 (s),0.003771,0.035198,0.020742,0.005657,0.000629,0.000000,0.000629,0.002514,0.000000,0.000000,0.000000,0.000000,0.000000,0.069138, 
9-10 (s),0.003771,0.087994,0.094280,0.016342,0.000629,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.203016, 
10-11 (s),0.002514,0.067881,0.157761,0.104336,0.021999,0.000000,0.000629,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.355120, 
11-12 (s),0.004400,0.065367,0.126963,0.106222,0.028284,0.000629,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.331865, 
12-13 (s),0.000000,0.012571,0.033941,0.045883,0.011314,0.003143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.106850, 
13-14 (s),0.000629,0.004400,0.020742,0.031427,0.016342,0.005657,0.000629,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.079824, 
14-15 (s),0.008171,0.024513,0.024513,0.026398,0.022627,0.003143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.109364, 
15 +,0.001886,0.011942,0.011314,0.005028,0.003143,0.001257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034569, 
Sum, 0.042112,0.990566,2.365793,1.557501,0.434944,0.066624,0.008799,0.003771,0.000000,0.000000,0.000000,0.000000,0.000000,5.470110, 

All Headings: 
foo,0.0-0.5 (m),0.5-1.0 (m),1.0-1.5 (m),1.5-2.0 (m),2.0-2.5 (m),2.5-3.0 (m),3.0-3.5 (m),3.5-4.0 (m),4.0-4.5 (m),4.5-5.0 (m),5.0-5.5 (m),5.5-6.0 (m),6 +,Sum,
0-1 (s),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 
1-2 (s),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 
2-3 (s),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 
3-4 (s),0.030798,0.646759,0.048397,0.001257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.727211, 
4-5 (s),0.001886,1.104330,3.167171,0.096165,0.001257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.370808, 
5-6 (s),0.019484,0.399746,1.882452,2.683201,0.179760,0.000629,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.165272, 
6-7 (s),0.013828,0.794464,0.835947,0.952225,1.045877,0.304838,0.033312,0.001886,0.000000,0.000000,0.000000,0.000000,0.000000,3.982376, 
7-8 (s),0.190445,2.966040,3.615314,1.285976,0.676300,0.443743,0.207415,0.032055,0.003143,0.000000,0.000000,0.000000,0.000000,9.420431, 
8-9 (s),0.148962,2.368935,4.455660,2.187290,1.157755,0.883715,0.626017,0.309866,0.103079,0.023256,0.001886,0.000000,0.000000,12.266422, 
9-10 (s),0.109993,2.179119,4.406006,3.133230,1.508476,0.811434,0.468885,0.263355,0.169075,0.068510,0.017599,0.004400,0.000000,13.140081, 
10-11 (s),0.084223,1.647381,3.614685,3.117517,1.707092,0.959768,0.543051,0.412317,0.273411,0.148333,0.081081,0.031427,0.008171,12.628456, 
11-12 (s),0.090509,1.797600,4.347553,5.132589,3.772446,2.441217,1.667494,1.289118,0.847261,0.470142,0.225014,0.122564,0.069138,22.272644, 
12-13 (s),0.013199,0.278439,0.936512,1.449394,1.434309,0.945940,0.570078,0.355120,0.221243,0.123821,0.073538,0.052797,0.078566,6.532957, 
13-14 (s),0.006914,0.133249,0.396603,0.534880,0.399746,0.325579,0.209301,0.142677,0.111879,0.089251,0.060968,0.054682,0.098051,2.563780, 
14-15 (s),0.115650,0.582020,0.729097,0.695784,0.584534,0.351978,0.248898,0.209930,0.180389,0.147705,0.109364,0.074167,0.150219,4.179735, 
15 +,0.022627,0.184788,0.301067,0.433687,0.430544,0.348206,0.324951,0.236328,0.167818,0.116278,0.062853,0.046511,0.074167,2.749826, 
Sum, 0.848518,15.082872,28.736463,21.703195,12.898096,7.817047,4.899404,3.252651,2.077297,1.187296,0.632303,0.386547,0.478313,100.000000, 
