WFA 

OrcaFlex (TOWARDS, +CCW) Wave Heading:  -15 to 15 deg
foo,0.0-1.0 (m),1.0-2.0 (m),2.0-3.0 (m),3.0-4.0 (m),4.0-5.0 (m),5.0-6.0 (m),6.0-7.0 (m),7.0-8.0 (m),8.0-9.0 (m),9.0-10.0 (m),10.0-11.0 (m),11.0-12.0 (m),12.0-13.0 (m),13 +,Sum,
8-9 (s),1.993945,5.757276,1.036839,0.302113,0.046718,0.006229,0.000311,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.143432, 
9-10 (s),2.136904,7.524480,2.633989,0.524181,0.159154,0.021491,0.004049,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.004248, 
10-11 (s),1.803022,6.746150,4.698635,1.044626,0.282803,0.056062,0.006541,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.637838, 
11-12 (s),1.126539,4.960570,5.247733,2.352432,0.593636,0.129566,0.024294,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.434769, 
12-13 (s),0.680221,3.327603,4.327690,3.212052,1.160799,0.284360,0.054816,0.004983,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.052524, 
13-14 (s),0.410811,1.856281,2.843287,2.620907,1.597461,0.564982,0.146696,0.017442,0.001869,0.000000,0.000000,0.000000,0.000000,0.000000,10.059737, 
14-15 (s),0.227986,0.961155,1.575036,1.490943,1.165159,0.716973,0.225183,0.056685,0.004672,0.000000,0.000000,0.000000,0.000000,0.000000,6.423793, 
15-16 (s),0.124583,0.481200,0.721645,0.839687,0.736595,0.636617,0.313948,0.104338,0.016819,0.005295,0.000000,0.000000,0.000000,0.000000,3.980727, 
16-17 (s),0.046096,0.204938,0.248542,0.335439,0.368142,0.289343,0.222069,0.111501,0.025228,0.009032,0.001246,0.000000,0.000000,0.000000,1.861576, 
17-18 (s),0.028031,0.092191,0.110567,0.131435,0.197152,0.165695,0.128320,0.080667,0.032703,0.012458,0.012458,0.001557,0.000000,0.000000,0.993235, 
18-19 (s),0.010278,0.032391,0.039866,0.042670,0.054193,0.061668,0.047341,0.033326,0.019933,0.009344,0.004049,0.001557,0.000000,0.000000,0.356618, 
19-20 (s),0.003737,0.009967,0.018687,0.013704,0.018376,0.027720,0.013393,0.014638,0.007475,0.011524,0.004360,0.000000,0.000000,0.000000,0.143582, 
20-21 (s),0.001246,0.000934,0.004672,0.005918,0.004360,0.003737,0.003115,0.004672,0.003115,0.002492,0.001869,0.000000,0.000000,0.000000,0.036129, 
21-22 (s),0.000934,0.000934,0.002180,0.000934,0.000311,0.000311,0.004672,0.001246,0.001557,0.002180,0.000000,0.000000,0.000000,0.000000,0.015261, 
22-23 (s),0.000623,0.000311,0.000623,0.000000,0.000000,0.000934,0.000311,0.000311,0.001557,0.000000,0.000000,0.000000,0.000000,0.000000,0.004672, 
23-24 (s),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000311,0.001557,0.000000,0.000000,0.000000,0.000000,0.000000,0.001869, 
24-25 (s),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 
25 +,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 
Sum, 12.351747,38.998418,24.408544,13.056573,6.397942,2.965690,1.195059,0.430122,0.116485,0.052325,0.023982,0.003115,0.000000,0.000000,100.000000, 
