WFKOWL 
N.B: Wdir (wave heading TOWARDS)= N=0deg E=270 deg S= 180 deg W=90deg  

OrcaFlex (TOWARDS, +CCW) Wave Heading:  -15 to 15 deg
foo,0.0-1.0 (m),1.0-2.0 (m),2.0-3.0 (m),3.0-4.0 (m),4.0-5.0 (m),5.0-6.0 (m),6.0-7.0 (m),7.0-8.0 (m),8.0-9.0 (m),9.0-10.0 (m),10.0-11.0 (m),11.0-12.0 (m),12.0-13.0 (m),13 +,Sum,
5-6 (s),1.578520,2.592114,0.126772,0.000584,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.297991, 
6-7 (s),0.874554,2.617235,1.383396,0.076531,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.951716, 
7-8 (s),0.146635,0.814965,0.726166,0.348186,0.012268,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.048220, 
8-9 (s),0.054915,0.474374,0.425885,0.471453,0.113336,0.001753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.541715, 
9-10 (s),0.035636,0.200382,0.222582,0.233682,0.186361,0.037389,0.000584,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.916617, 
10-11 (s),0.030379,0.032131,0.088215,0.081204,0.073026,0.038557,0.008179,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.351691, 
11-12 (s),0.032715,0.007010,0.009931,0.007010,0.004089,0.009931,0.004674,0.001753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.077115, 
12-13 (s),0.016358,0.011100,0.001168,0.000000,0.000584,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029210, 
13-14 (s),0.013437,0.005842,0.000584,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019863, 
14-15 (s),0.007595,0.002921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010516, 
