WFKOWL 
N.B: Wdir (wave heading TOWARDS)= N=0deg E=270 deg S= 180 deg W=90deg  

(TOWARDS, +CCW)Current Heading:  -15 to 15 deg

0.4-0.5(m/s),0.000000,0.000000, 
0.5-0.5(m/s),0.000000,0.000000, 
0.5-0.6(m/s),0.000000,0.000000, 
0.6 +,0.000000,0.000000, 
Sum, 2.967758,2.967758, 

(TOWARDS, +CCW)Current Heading:  225 to 255 deg

0.0-0.1(m/s),0.146051,0.146051, 
0.1-0.1(m/s),1.140951,1.140951, 
0.1-0.2(m/s),0.577778,0.577778, 
0.2-0.2(m/s),0.000000,0.000000, 
0.2-0.2(m/s),0.000000,0.000000, 
0.2-0.3(m/s),0.000000,0.000000, 
0.3-0.3(m/s),0.000000,0.000000, 
0.3-0.4(m/s),0.000000,0.000000, 
0.4-0.4(m/s),0.000000,0.000000, 
0.4-0.5(m/s),0.000000,0.000000, 
0.5-0.5(m/s),0.000000,0.000000, 
0.5-0.6(m/s),0.000000,0.000000, 
0.6 +,0.000000,0.000000, 
Sum, 1.864780,1.864780, 

(TOWARDS, +CCW)Current Heading:  255 to 285 deg

0.0-0.1(m/s),0.101652,0.101652, 
0.1-0.1(m/s),1.108820,1.108820, 
0.1-0.2(m/s),0.917201,0.917201, 
0.2-0.2(m/s),0.000584,0.000584, 
0.2-0.2(m/s),0.000000,0.000000, 
0.2-0.3(m/s),0.000000,0.000000, 
0.3-0.3(m/s),0.000000,0.000000, 
0.3-0.4(m/s),0.000000,0.000000, 
0.4-0.4(m/s),0.000000,0.000000, 
0.4-0.5(m/s),0.000000,0.000000, 
0.5-0.5(m/s),0.000000,0.000000, 
0.5-0.6(m/s),0.000000,0.000000, 
0.6 +,0.000000,0.000000, 
Sum, 2.128256,2.128256, 

(TOWARDS, +CCW)Current Heading:  285 to 315 deg

0.0-0.1(m/s),0.029210,0.029210, 
0.1-0.1(m/s),0.878643,0.878643, 
0.1-0.2(m/s),1.850175,1.850175, 
0.2-0.2(m/s),1.477453,1.477453, 
0.2-0.2(m/s),0.420043,0.420043, 
0.2-0.3(m/s),0.016358,0.016358, 
0.3-0.3(m/s),0.000000,0.000000, 
0.3-0.4(m/s),0.000000,0.000000, 
0.4-0.4(m/s),0.000000,0.000000, 
0.4-0.5(m/s),0.000000,0.000000, 
0.5-0.5(m/s),0.000000,0.000000, 
0.5-0.6(m/s),0.000000,0.000000, 
0.6 +,0.000000,0.000000, 
Sum, 4.671882,4.671882, 

(TOWARDS, +CCW)Current Heading:  315 to 345 deg

0.0-0.1(m/s),0.081789,0.081789, 
