N.B: Wdir (wave heading TOWARDS)= N=0deg E=270 deg S= 180 deg W=90deg 
Data from hindcast set 1/1/1990 00:00 to 12/31/2015 24:00, from Effiage 
Location: Lat 42.86389n, Lon 3.282501w, Depth 200m, Hub-Height 100m 
Table lists percentages 

OrcaFlex (TOWARDS, +CCW) Wave Heading:  5 to 35 deg
foo,0.0-0.5 (m),0.5-1.0 (m),1.0-1.5 (m),1.5-2.0 (m),2.0-2.5 (m),2.5-3.0 (m),3.0-3.5 (m),3.5-4.0 (m),4.0-4.5 (m),4.5-5.0 (m),5.0-5.5 (m),5.5-6.0 (m),6 +,Sum,
0-1 (s),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 
1-2 (s),0.080453,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.080453, 
2-3 (s),0.814585,0.008620,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.823205, 
3-4 (s),2.111887,0.340488,0.001437,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.453811, 
4-5 (s),2.677930,1.097607,0.152286,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.927822, 
5-6 (s),2.104704,1.968221,0.462604,0.206879,0.005747,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.748154, 
6-7 (s),1.367698,1.547280,0.501394,0.232739,0.093383,0.021550,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.764043, 
7-8 (s),1.024337,0.537310,0.339051,0.103439,0.048846,0.034480,0.005747,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.093210, 
8-9 (s),1.311669,0.123553,0.173836,0.071833,0.027296,0.004310,0.005747,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.718243, 
9-10 (s),1.011407,0.089073,0.048846,0.066086,0.012930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.228342, 
10-11 (s),0.620636,0.136482,0.020113,0.008620,0.008620,0.001437,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.795908, 
11-12 (s),0.137919,0.097693,0.000000,0.002873,0.005747,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.244232, 
12-13 (s),0.031606,0.077580,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.109186, 
13-14 (s),0.002873,0.045973,0.002873,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.051720, 
14-15 (s),0.000000,0.018677,0.005747,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024423, 
15 +,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 
