N.B: Wdir (wave heading TOWARDS)= N=0deg E=270 deg S= 180 deg W=90deg 
Data from hindcast set 1/1/1990 00:00 to 12/31/2015 24:00, from Effiage 
Location: Lat 42.86389n, Lon 3.282501w, Depth 200m, Hub-Height 100m 
Table lists percentages 

OrcaFlex (TOWARDS, +CCW) Wave Heading:  -150 to -120 deg
foo,0.0-0.5 (m),0.5-1.0 (m),1.0-1.5 (m),1.5-2.0 (m),2.0-2.5 (m),2.5-3.0 (m),3.0-3.5 (m),3.5-4.0 (m),4.0-4.5 (m),4.5-5.0 (m),5.0-5.5 (m),5.5-6.0 (m),6 +,Sum,
6-7 (s),1.942361,1.955291,0.889291,0.395081,0.077580,0.007183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.266787, 
7-8 (s),1.785766,0.591903,0.554550,0.241359,0.096256,0.024423,0.002873,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.297130, 
8-9 (s),1.953855,0.109186,0.228429,0.126426,0.093383,0.035916,0.011493,0.005747,0.001437,0.000000,0.000000,0.000000,0.000000,2.565871, 
9-10 (s),1.372008,0.103439,0.057466,0.084763,0.035916,0.022987,0.011493,0.004310,0.002873,0.001437,0.000000,0.000000,0.000000,1.696693, 
10-11 (s),0.729822,0.239922,0.014367,0.010057,0.017240,0.002873,0.001437,0.001437,0.002873,0.004310,0.000000,0.000000,0.000000,1.024337, 
11-12 (s),0.172399,0.120679,0.001437,0.002873,0.004310,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.301698, 
12-13 (s),0.025860,0.077580,0.000000,0.000000,0.001437,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.104876, 
13-14 (s),0.002873,0.035916,0.001437,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040226, 
14-15 (s),0.000000,0.015803,0.004310,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020113, 
15 +,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 
Sum, 16.689653,8.158779,3.041404,1.047324,0.328995,0.093383,0.027296,0.011493,0.007183,0.005747,0.000000,0.000000,0.000000,29.411258, 

OrcaFlex (TOWARDS, +CCW) Wave Heading:  60 to 90 deg
foo,0.0-0.5 (m),0.5-1.0 (m),1.0-1.5 (m),1.5-2.0 (m),2.0-2.5 (m),2.5-3.0 (m),3.0-3.5 (m),3.5-4.0 (m),4.0-4.5 (m),4.5-5.0 (m),5.0-5.5 (m),5.5-6.0 (m),6 +,Sum,
0-1 (s),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 
1-2 (s),0.100566,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100566, 
2-3 (s),0.692469,0.011493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.703962, 
3-4 (s),0.864868,0.270092,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.134960, 
4-5 (s),1.383501,0.785852,0.045973,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.215326, 
5-6 (s),1.057380,1.731173,0.430997,0.040226,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.259776, 
6-7 (s),0.647933,1.218286,0.982674,0.441054,0.041663,0.001437,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.333046, 
7-8 (s),0.501394,0.586156,0.714019,0.553113,0.251415,0.057466,0.005747,0.001437,0.000000,0.000000,0.000000,0.000000,0.000000,2.670747, 
8-9 (s),0.672356,0.280148,0.428124,0.327558,0.385024,0.281585,0.091946,0.015803,0.004310,0.000000,0.000000,0.000000,0.000000,2.486855, 
